date,symbol,timeframe,P1_bars,P2_bars,P3_bars,P4_bars,P5_bars,P6_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol,source_csv
2h,BTC,USD,337.0,168.5,67.39999999999999,56.16666666666666,84.25,22.466666666666665,0.9634136326653546,,,,,outputs/fourier/monthly/2024/02/FREQ_BTC_USD_2h_2024-02.csv
2h,BTC,USD,180.5,361.0,120.33333333333331,51.57142857142858,27.769230769230766,45.125,0.8207395688866668,,,,,outputs/fourier/monthly/2024/03/FREQ_BTC_USD_2h_2024-03.csv
2h,BTC,USD,174.5,349.0,116.33333333333331,43.625,49.85714285714286,24.92857142857143,0.8586622735320073,,,,,outputs/fourier/monthly/2024/04/FREQ_BTC_USD_2h_2024-04.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,60.16666666666666,51.57142857142858,32.81818181818182,0.9118362954967006,,,,,outputs/fourier/monthly/2024/05/FREQ_BTC_USD_2h_2024-05.csv
2h,BTC,USD,349.0,174.5,38.77777777777778,116.33333333333331,43.625,31.727272727272727,0.8910762738497459,,,,,outputs/fourier/monthly/2024/06/FREQ_BTC_USD_2h_2024-06.csv
2h,BTC,USD,361.0,180.5,72.2,60.16666666666666,120.33333333333331,90.25,0.9710657927824744,,,,,outputs/fourier/monthly/2024/07/FREQ_BTC_USD_2h_2024-07.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,45.125,60.16666666666666,0.703979210112956,,,,,outputs/fourier/monthly/2024/08/FREQ_BTC_USD_2h_2024-08.csv
2h,BTC,USD,349.0,116.33333333333331,174.5,87.25,58.16666666666666,69.8,0.9119674650695564,,,,,outputs/fourier/monthly/2024/09/FREQ_BTC_USD_2h_2024-09.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,51.57142857142858,40.11111111111111,90.25,0.9469083731725874,,,,,outputs/fourier/monthly/2024/10/FREQ_BTC_USD_2h_2024-10.csv
2h,BTC,USD,349.0,116.33333333333331,174.5,87.25,58.16666666666666,23.26666666666667,0.9643569875228906,,,,,outputs/fourier/monthly/2024/11/FREQ_BTC_USD_2h_2024-11.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,51.57142857142858,60.16666666666666,0.9165933651084952,,,,,outputs/fourier/monthly/2024/12/FREQ_BTC_USD_2h_2024-12.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,45.125,90.25,0.9179287443260526,,,,,outputs/fourier/monthly/2025/01/FREQ_BTC_USD_2h_2025-01.csv
2h,BTC,USD,325.0,65.0,81.25,54.16666666666667,108.33333333333334,20.3125,0.720667060348518,,,,,outputs/fourier/monthly/2025/02/FREQ_BTC_USD_2h_2025-02.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,51.57142857142858,0.8174997188825114,,,,,outputs/fourier/monthly/2025/03/FREQ_BTC_USD_2h_2025-03.csv
2h,BTC,USD,349.0,116.33333333333331,69.8,19.38888888888889,23.26666666666667,26.846153846153843,0.930267067893764,,,,,outputs/fourier/monthly/2025/04/FREQ_BTC_USD_2h_2025-04.csv
2h,BTC,USD,361.0,120.33333333333331,180.5,72.2,51.57142857142858,25.78571428571429,0.9115972465031764,,,,,outputs/fourier/monthly/2025/05/FREQ_BTC_USD_2h_2025-05.csv
2h,BTC,USD,349.0,87.25,174.5,58.16666666666666,116.33333333333331,49.85714285714286,0.7283060576864431,,,,,outputs/fourier/monthly/2025/06/FREQ_BTC_USD_2h_2025-06.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,60.16666666666666,0.9184855651149044,,,,,outputs/fourier/monthly/2024/01/FREQ_BTC_USD_2h_2024-01.csv
2h,BTC,USD,180.5,72.2,90.25,60.16666666666666,51.57142857142858,120.33333333333331,0.7612010453137131,,,,,outputs/fourier/monthly/2023/12/FREQ_BTC_USD_2h_2023-12.csv
2h,BTC,USD,349.0,116.33333333333331,174.5,87.25,43.625,29.08333333333333,0.5557509237052275,,,,,outputs/fourier/monthly/2023/11/FREQ_BTC_USD_2h_2023-11.csv
2h,BTC,USD,361.0,180.5,90.25,45.125,120.33333333333331,51.57142857142858,0.9777883786133555,,,,,outputs/fourier/monthly/2023/10/FREQ_BTC_USD_2h_2023-10.csv
2h,BTC,USD,349.0,174.5,69.8,58.16666666666666,116.33333333333331,34.9,0.8549660802056671,,,,,outputs/fourier/monthly/2022/04/FREQ_BTC_USD_2h_2022-04.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,25.78571428571429,36.1,0.9305682705676738,,,,,outputs/fourier/monthly/2022/05/FREQ_BTC_USD_2h_2022-05.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,58.16666666666666,49.85714285714286,69.8,0.9674569523353622,,,,,outputs/fourier/monthly/2022/06/FREQ_BTC_USD_2h_2022-06.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,60.16666666666666,51.57142857142858,0.9261759907796272,,,,,outputs/fourier/monthly/2022/07/FREQ_BTC_USD_2h_2022-07.csv
