month,symbol,timeframe,STFT_domP_bars,STFT_LFP_like,CWT_domScale_bars,CWT_LFP_like
2017-03,BTC_USD,2h,,0.2003586241083425,151.29883889098895,0.42213984441365515
2017-04,BTC_USD,2h,,0.19968119788336508,180.0,0.41562283864153365
2017-05,BTC_USD,2h,,0.20064821715143907,185.99999999999997,0.46910483117452145
2017-06,BTC_USD,2h,,0.20065178579701382,180.0,0.4059630167558696
2017-07,BTC_USD,2h,,0.2007486372196348,185.99999999999997,0.4000436610128831
2017-08,BTC_USD,2h,,0.20070957891307087,151.29883889098895,0.4664648335451296
2017-08,BTC_USDT,1d,,0.1881644738853603,,
2017-08,BTC_USDT,2h,,0.19935639211258085,72.71367850156014,0.22574146501719616
2017-09,BTC_USD,2h,,0.19993398850466287,180.0,0.38049067663998776
2017-09,BTC_USDT,1d,,0.2384379344869674,,
