date,symbol,timeframe,P1_bars,P2_bars,P3_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol
2h,BTC,USD,180.5,361.0,120.33333333333331,0.8963242238443423,,,,
2h,BTC,USD,349.0,174.5,69.8,0.9543057866011768,,,,
2h,BTC,USD,361.0,72.2,45.125,0.7308969099766588,,,,
2h,BTC,USD,349.0,174.5,87.25,0.9489220276995656,,,,
2h,BTC,USD,361.0,90.25,180.5,0.8343446892567729,,,,
2h,BTC,USD,361.0,180.5,72.2,0.975343198249922,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.983466009059186,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9465002130735012,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9368403104974684,,,,
2h,BTC,USD,325.0,162.5,81.25,0.776142167799925,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9079503663307764,,,,
2h,BTC,USD,325.0,162.5,65.0,0.917901637706741,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9393397486201406,,,,
2h,BTC,USD,174.5,349.0,116.33333333333331,0.8474813389798656,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9477256672020516,,,,
2h,BTC,USD,174.5,116.33333333333331,349.0,0.7692400574048809,,,,
2h,BTC,USD,180.5,361.0,120.33333333333331,0.9382778388394072,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9419037312795696,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.8681781420891405,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.943175124959066,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9724554547972276,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9594152195054596,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9059941740251324,,,,
2h,BTC,USD,325.0,162.5,108.33333333333334,0.9443720462202576,,,,
2h,BTC,USD,361.0,180.5,90.25,0.8838589424825687,,,,
2h,BTC,USD,349.0,116.33333333333331,174.5,0.9457036637382704,,,,
2h,BTC,USD,361.0,72.2,60.16666666666666,0.9132029944308472,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9878612616563056,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.8900257329149859,,,,
2h,BTC,USD,361.0,120.33333333333331,180.5,0.922537480665559,,,,
2h,BTC,USD,349.0,116.33333333333331,174.5,0.866140554754208,,,,
2h,BTC,USD,361.0,180.5,72.2,0.9560313853554778,,,,
2h,BTC,USD,349.0,174.5,69.8,0.8988565619762723,,,,
2h,BTC,USD,180.5,361.0,120.33333333333331,0.7343324583746949,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9371577271791176,,,,
2h,BTC,USD,180.5,120.33333333333331,361.0,0.8436198083866561,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9406999472684044,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.8849066923808411,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9615422415745848,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.979577595415862,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.8209830154400922,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.8903195380737644,,,,
2h,BTC,USD,337.0,168.5,48.14285714285714,0.961434371410674,,,,
2h,BTC,USD,180.5,72.2,90.25,0.7346891844928544,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9499289330753168,,,,
2h,BTC,USD,361.0,180.5,120.33333333333331,0.9498899129673858,,,,
2h,BTC,USD,349.0,174.5,116.33333333333331,0.9577549093900584,,,,
2h,BTC,USD,180.5,361.0,120.33333333333331,0.7230302806132873,,,,
2h,BTC,USD,180.5,120.33333333333331,361.0,0.7957788273609279,,,,
2h,BTC,USD,361.0,180.5,90.25,0.9492557672223324,,,,
2h,BTC,USD,307.0,153.5,38.375,0.8897208480055883,,,,
