K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
fixed,25,50,200,33,7.9,8.499017106212792,261,2.5445939163320554,0.3573771465790947,1.0,1.3339694937729616
fixed,5,25,25,57,7.1000000000000005,0.6251621706569783,275,2.6490391710188366,0.09466438871245653,1.0,1.3178228192250387
fixed,6,24,24,57,6.9,0.5563698925776053,273,2.617810826404874,0.08588131438075464,1.0,1.2964508901571505
fixed,6,24,24,61,5.1000000000000005,0.48871998038998665,278,2.6193661905762533,0.07693039900671605,1.0,1.2946988340477668
fixed,6,24,24,65,5.7,0.4206831359845873,255,2.5836563645919726,0.06758798507284669,1.0,1.2704702142770377
fixed,8,40,40,52,7.2,0.5408833722997128,284,2.563866119458428,0.08386061674771605,1.0,1.2634778566993714
fixed,11,44,44,54,10.0,0.5723823100375935,259,2.560110704313465,0.08795349957604603,1.0,1.262452472460893
fixed,8,32,32,49,4.4,0.6447753248310499,320,2.549887478132064,0.09711301266904093,1.0,1.2590663906799509
K8,9,45,63,26,5.7,0.511912274295538,274,2.534602213292438,0.09928683516126702,1.0,1.2505473785238428
fixed,6,30,30,53,4.9,0.6333448721905459,290,2.5320236021879956,0.09568887399211068,1.0,1.2479208235104307
