"K","Kind","Seed","Status","Percent","EquityMult","MDD","Sharpe","Lyap","CAGR","Calmar","Trades","Years","File"
"K5","fixed","9","NotStarted","0",,,,,,,,,
"K5","fixed","10","NotStarted","0",,,,,,,,,
"K5","fixed","11","NotStarted","0",,,,,,,,,
"K5","fixed","12","NotStarted","0",,,,,,,,,
"K5","fixed","13","NotStarted","0",,,,,,,,,
"K5","fixed","14","NotStarted","0",,,,,,,,,
"K5","fixed","15","NotStarted","0",,,,,,,,,
"K5","fixed","16","NotStarted","0",,,,,,,,,
"K5","fixed","17","NotStarted","0",,,,,,,,,
"K5","fixed","18","NotStarted","0",,,,,,,,,
"K5","fixed","19","NotStarted","0",,,,,,,,,
"K5","fixed","20","NotStarted","0",,,,,,,,,
"K5","fixed","21","NotStarted","0",,,,,,,,,
"K5","fixed","22","NotStarted","0",,,,,,,,,
"K5","fixed","23","NotStarted","0",,,,,,,,,
"K5","fixed","24","NotStarted","0",,,,,,,,,
"K5","fixed","25","NotStarted","0",,,,,,,,,
"K5","fixed","26","NotStarted","0",,,,,,,,,
"K5","fixed","27","NotStarted","0",,,,,,,,,
"K5","fixed","28","NotStarted","0",,,,,,,,,
"K5","fixed","29","NotStarted","0",,,,,,,,,
"K5","fixed","30","NotStarted","0",,,,,,,,,
"K8","phase","1","Done","100","1.0106354095395182","0.07065730995564112","-1.3254802226224296","0.0007556608140809974","0.0007559463976443137","0.010698771268236778","410","14","C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_phase_k8\seed_1\WFA_phase_K8_BTC_fused_20250923_080013.json"
"K8","phase","2","NotStarted","0",,,,,,,,,
"K8","phase","3","NotStarted","0",,,,,,,,,
"K8","phase","4","NotStarted","0",,,,,,,,,
"K8","phase","5","NotStarted","0",,,,,,,,,
"K8","phase","6","NotStarted","0",,,,,,,,,
"K8","phase","7","NotStarted","0",,,,,,,,,
"K8","phase","8","NotStarted","0",,,,,,,,,
"K8","phase","9","NotStarted","0",,,,,,,,,
"K8","phase","10","NotStarted","0",,,,,,,,,
"K8","phase","11","NotStarted","0",,,,,,,,,
"K8","phase","12","NotStarted","0",,,,,,,,,
"K8","phase","13","NotStarted","0",,,,,,,,,
"K8","phase","14","NotStarted","0",,,,,,,,,
"K8","phase","15","NotStarted","0",,,,,,,,,
"K8","phase","16","NotStarted","0",,,,,,,,,
"K8","phase","17","NotStarted","0",,,,,,,,,
"K8","phase","18","NotStarted","0",,,,,,,,,
"K8","phase","19","NotStarted","0",,,,,,,,,
"K8","phase","20","NotStarted","0",,,,,,,,,
"K8","phase","21","NotStarted","0",,,,,,,,,
"K8","phase","22","NotStarted","0",,,,,,,,,
"K8","phase","23","NotStarted","0",,,,,,,,,
"K8","phase","24","NotStarted","0",,,,,,,,,
"K8","phase","25","NotStarted","0",,,,,,,,,
"K8","phase","26","NotStarted","0",,,,,,,,,
"K8","phase","27","NotStarted","0",,,,,,,,,
"K8","phase","28","NotStarted","0",,,,,,,,,
"K8","phase","29","NotStarted","0",,,,,,,,,
"K8","phase","30","NotStarted","0",,,,,,,,,
"K8","fixed","1","InProgress","80.4",,,,,,,,,"C:\Users\ludov\OneDrive\Bureau\teste algo\ichimoku_pipeline_web_v4_8\outputs\wfa_fixed_k8\seed_1\PROGRESS.json"
"K8","fixed","2","NotStarted","0",,,,,,,,,
"K8","fixed","3","NotStarted","0",,,,,,,,,
"K8","fixed","4","NotStarted","0",,,,,,,,,
"K8","fixed","5","NotStarted","0",,,,,,,,,
"K8","fixed","6","NotStarted","0",,,,,,,,,
"K8","fixed","7","NotStarted","0",,,,,,,,,
"K8","fixed","8","NotStarted","0",,,,,,,,,
"K8","fixed","9","NotStarted","0",,,,,,,,,
"K8","fixed","10","NotStarted","0",,,,,,,,,
"K8","fixed","11","NotStarted","0",,,,,,,,,
"K8","fixed","12","NotStarted","0",,,,,,,,,
"K8","fixed","13","NotStarted","0",,,,,,,,,
"K8","fixed","14","NotStarted","0",,,,,,,,,
"K8","fixed","15","NotStarted","0",,,,,,,,,
"K8","fixed","16","NotStarted","0",,,,,,,,,
"K8","fixed","17","NotStarted","0",,,,,,,,,
"K8","fixed","18","NotStarted","0",,,,,,,,,
"K8","fixed","19","NotStarted","0",,,,,,,,,
"K8","fixed","20","NotStarted","0",,,,,,,,,
"K8","fixed","21","NotStarted","0",,,,,,,,,
"K8","fixed","22","NotStarted","0",,,,,,,,,
"K8","fixed","23","NotStarted","0",,,,,,,,,
"K8","fixed","24","NotStarted","0",,,,,,,,,
"K8","fixed","25","NotStarted","0",,,,,,,,,
"K8","fixed","26","NotStarted","0",,,,,,,,,
"K8","fixed","27","NotStarted","0",,,,,,,,,
"K8","fixed","28","NotStarted","0",,,,,,,,,
"K8","fixed","29","NotStarted","0",,,,,,,,,
"K8","fixed","30","NotStarted","0",,,,,,,,,
