K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
fixed,19,95,152,48,12.700000000000001,4.9476353601762275,224,2.287783522765421,0.3231061810859539,1.0,1.1696019679850387
fixed,29,116,174,27,13.700000000000001,4.9113113542138365,272,2.0174603200185968,0.27274327314942637,1.0,0.9922991739559859
fixed,22,66,154,56,7.2,4.896100750369448,249,2.236003999619034,0.27229826970505244,1.0,1.1232918806829362
fixed,22,110,176,44,10.100000000000001,4.875916752929526,201,2.4920387508928683,0.3205880356600408,1.0,1.2913996612337333
fixed,23,69,161,49,6.300000000000001,4.835333736059883,272,2.0064888401283225,0.2705105031045081,1.0,0.9850464550083458
fixed,18,54,144,93,6.9,4.834009019331773,189,2.4161845138470865,0.3191045760994142,1.0,1.2454420811380762
fixed,25,75,175,28,13.9,4.820892675727643,275,1.9934132189187683,0.2700832816207357,1.0,0.9770729158374816
fixed,19,95,171,24,11.5,4.808500959912659,243,2.058830211406961,0.31819723240448794,1.0,1.030757296565523
fixed,29,116,174,55,15.0,4.7982781340819525,228,2.864233028135631,0.2694124134308087,1.0,1.4993635409106212
fixed,17,51,153,49,6.6000000000000005,4.785464605960828,272,2.005281843285577,0.26903129139494486,1.0,0.9838784933898295
fixed,21,84,168,64,6.800000000000001,4.772223595600725,192,2.37966124932451,0.31690101244142843,1.0,1.2228670533271344
K8,26,78,156,70,8.2,4.77146635770255,150,2.7005971631701233,0.3861010318029623,1.0,1.4361886074429624
fixed,24,120,192,42,11.3,4.758325020927596,207,2.4423383570058514,0.31640258499945473,1.0,1.2603237897033472
fixed,17,85,136,61,8.9,4.671046018333504,113,3.1238277744939738,0.6741763315632974,1.0,1.7765495641653735
fixed,18,90,162,69,11.5,4.66133495880957,185,2.565695637377541,0.31289583629804874,1.0,1.3332861333159391
fixed,24,120,168,13,10.3,4.65860391269226,269,1.8714316898781147,0.3127963623652714,1.0,0.9166979226364502
fixed,21,105,168,72,8.100000000000001,4.611466198097384,177,2.6096604610769862,0.31107303770062056,1.0,1.3591181879563778
fixed,26,104,182,42,12.3,4.595176828489969,198,2.4717491349964367,0.3104746711367301,1.0,1.2761918823388811
fixed,20,100,180,44,11.700000000000001,4.589977934213385,192,2.510890621945268,0.3102833880977425,1.0,1.2996193895964834
fixed,23,69,207,29,7.9,4.578027074750977,247,2.203502747706242,0.26275754580927435,1.0,1.1009289123665273
fixed,28,84,196,40,14.0,4.572156945657483,237,2.761554446944004,0.26257709405043794,1.0,1.4357057963815336
fixed,19,95,171,60,9.9,4.5599846724435915,185,2.543481569403694,0.30917690790748775,1.0,1.3188420140144625
fixed,28,84,168,39,14.600000000000001,4.5554667823527994,258,2.1548390108549977,0.26206312792347775,1.0,1.0715223448900417
fixed,20,80,180,62,7.9,4.55398936781318,181,2.5709120132881083,0.3089551321976691,1.0,1.3352337476321654
fixed,18,90,162,43,9.1,4.54694618024256,220,2.3287454072373923,0.30869433571269855,1.0,1.189855545056245
fixed,28,84,196,40,13.0,4.5341593834465845,238,2.745637645100224,0.26140503319595143,1.0,1.4258040970189196
fixed,24,96,168,38,14.5,4.527534605974515,255,2.153476711513434,0.2611999757771222,1.0,1.070446019641197
