K,tenkan,kijun,senkou_b,shift,atr_mult,eq_ret,trades,sharpe,cagr,mdd,score
K3,12,12,72,2,9.4,31.590956529263025,346,2.5979835826648383,0.6556230241274925,1.0,1.4554770568371507
K3,7,14,35,30,3.0,0.6612563918134606,310,2.8732808615599703,0.0970770432321042,1.0,1.4530916299056134
K3,14,14,84,2,15.0,29.275072234195925,335,2.602520683893139,0.6380569159414191,1.0,1.4529294851183092
K3,13,13,91,6,10.600000000000001,22.40684564991407,297,2.631240788021483,0.5781877686115287,1.0,1.4522008033963485
K3,14,14,84,1,8.0,26.686929749342735,324,2.6114502778962323,0.6170100015584934,1.0,1.4519731672052874
fixed,6,30,36,47,3.5,2.175501568619429,641,2.859899232362212,0.11788977665078226,1.0,1.4513064724125617
K3,21,21,84,5,10.700000000000001,25.361510353894595,317,2.6102845472964153,0.6055717345950253,1.0,1.4478422487563567
fixed,7,14,35,45,3.4000000000000004,1.7166326285922389,581,2.855135167294488,0.11256821496993363,1.0,1.4468515648676725
K3,14,14,84,1,14.9,24.129184104057583,319,2.6102258983098516,0.594486702967074,1.0,1.444481549876033
K3,15,15,90,5,11.4,22.447838648919674,302,2.6108575100487172,0.5785874383953109,1.0,1.4400907375478236
K3,17,17,85,5,11.9,25.401038060860508,319,2.5959296509104135,0.6059198983888587,1.0,1.4393337600629057
K3,21,21,84,5,13.600000000000001,24.28378151495881,316,2.5941387438459365,0.5959025158053237,1.0,1.4352540010491588
K3,5,25,35,48,5.0,1.398130882114395,489,2.835056434768538,0.11020203485549485,1.0,1.434094471317771
K5,5,25,35,48,5.0,1.398130882114395,489,2.835056434768538,0.11020203485549485,1.0,1.434094471317771
K8,5,25,35,48,5.0,1.398130882114395,489,2.835056434768538,0.11020203485549485,1.0,1.434094471317771
K3,24,72,192,43,13.4,8.646486288641988,299,2.751226454548465,0.2737008992948129,1.0,1.432846142517523
K5,24,72,192,43,13.4,8.646486288641988,299,2.751226454548465,0.2737008992948129,1.0,1.432846142517523
K8,24,72,192,43,13.4,8.646486288641988,299,2.751226454548465,0.2737008992948129,1.0,1.432846142517523
fixed,5,20,25,55,5.800000000000001,0.685819764436638,282,2.8292707423385797,0.10216131962052288,1.0,1.4282108412893046
K3,22,22,88,1,12.700000000000001,21.87151482574093,301,2.6105661813684433,0.5336978027859873,1.0,1.4264490496568623
K3,22,22,88,1,12.700000000000001,21.87151482574093,301,2.6105661813684433,0.5336978027859873,1.0,1.4264490496568623
K3,22,22,88,1,12.700000000000001,21.87151482574093,301,2.6105661813684433,0.5336978027859873,1.0,1.4264490496568623
K3,16,16,96,2,11.5,20.153535071704887,293,2.599708763697793,0.555239208780423,1.0,1.4263970208528027
K3,19,19,95,3,13.100000000000001,19.800750316784413,292,2.597195039516784,0.5514587595442382,1.0,1.423754651573342
K3,23,46,184,41,12.3,13.986310935270279,282,2.681415401310981,0.38203115973882107,1.0,1.423458588708235
K5,23,46,184,41,12.3,13.986310935270279,282,2.681415401310981,0.38203115973882107,1.0,1.423458588708235
K8,23,46,184,41,12.3,13.986310935270279,282,2.681415401310981,0.38203115973882107,1.0,1.423458588708235
K3,15,30,90,7,10.0,19.036151094964616,287,2.600156411071235,0.5430733047007565,1.0,1.4230158380529678
K3,16,32,96,1,9.1,18.72327473489996,283,2.600189142014884,0.5395628403759329,1.0,1.4219823373217102
K3,11,11,88,3,11.8,24.499432830157332,321,2.569714394631916,0.5978651468946776,1.0,1.4211881808475526
fixed,12,36,48,47,1.8,1.2307421574252384,590,2.8212739378155156,0.0894116925174877,1.0,1.4195878704445557
K3,23,23,92,1,12.200000000000001,20.839990243161044,297,2.5993652319708054,0.5240566316021629,1.0,1.416836128663132
K3,23,23,92,1,12.200000000000001,20.839990243161044,297,2.5993652319708054,0.5240566316021629,1.0,1.416836128663132
K3,23,23,92,1,12.200000000000001,20.839990243161044,297,2.5993652319708054,0.5240566316021629,1.0,1.416836128663132
K3,14,14,70,2,8.4,30.086237392285415,357,2.5353005636233994,0.6443365009713937,1.0,1.4144812884654576
K3,15,15,90,4,8.100000000000001,22.432579103096224,312,2.566872563401041,0.5784387321508457,1.0,1.4136551576858782
K3,15,15,90,3,7.1000000000000005,23.149605712466247,317,2.5592553772511235,0.5853384263345065,1.0,1.411154754251026
K3,12,12,96,2,10.200000000000001,19.470861041536015,296,2.568968201024758,0.5478737124291582,1.0,1.4057430343436021
fixed,8,40,40,53,3.8000000000000003,0.6068591838353041,280,2.79472493998099,0.0923575459322985,1.0,1.4045422277682835
fixed,6,24,30,50,5.0,1.5871112045713716,562,2.7853267779524673,0.10678218686812513,1.0,1.4032307228319179
K3,8,16,40,33,3.6,0.7297178274754301,280,2.785856547598727,0.10519398568751503,1.0,1.4030721242654907
