month,symbol,timeframe,phase5psd_accumulation_days,phase5psd_accumulation_h2_bars,phase5psd_bear_days,phase5psd_bear_h2_bars,phase5psd_distribution_days,phase5psd_distribution_h2_bars,phase5psd_expansion_days,phase5psd_expansion_h2_bars,phase5psd_euphoria_days,phase5psd_euphoria_h2_bars
2019-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2019-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-04,BTC_USD,2h,0,0,0,0,0,0,2,12,29,338
2019-05,BTC_USD,2h,0,0,0,0,0,0,4,46,28,316
2019-06,BTC_USD,2h,0,0,0,0,0,0,4,35,28,316
2019-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2019-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2019-11,BTC_USD,2h,0,0,0,0,0,0,4,30,27,320
2019-12,BTC_USD,2h,0,0,0,0,0,0,1,11,31,351
2020-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-02,BTC_USD,2h,0,0,0,0,0,0,5,52,26,287
2020-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-08,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2020-11,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2020-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2021-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-04,BTC_USD,2h,0,0,0,0,0,0,4,35,28,316
2021-05,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2021-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2021-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-08,BTC_USD,2h,0,0,0,0,0,0,9,78,25,286
2021-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2021-10,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2021-11,BTC_USD,2h,0,0,0,0,0,0,5,47,26,303
2021-12,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-01,BTC_USD,2h,0,0,0,0,0,0,6,60,26,302
2022-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2022-03,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2022-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-06,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2022-07,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2022-08,BTC_USD,2h,0,0,0,0,0,0,6,69,27,294
2022-09,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2022-10,BTC_USD,2h,0,0,0,0,0,0,3,21,29,341
2022-11,BTC_USD,2h,0,0,0,0,0,0,1,3,30,347
2022-12,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2023-01,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2023-02,BTC_USD,2h,0,0,0,0,0,0,0,0,28,325
2023-03,BTC_USD,2h,0,0,0,0,0,0,6,69,27,294
2023-04,BTC_USD,2h,0,0,0,0,0,0,0,0,30,349
2023-05,BTC_USD,2h,0,0,0,0,0,0,0,0,31,361
2023-06,BTC_USD,2h,0,0,0,0,0,0,5,52,27,299
2023-07,BTC_USD,2h,0,0,0,0,0,0,4,35,29,328
2023-08,BTC_USD,2h,0,0,0,0,0,0,3,14,29,348
